WMO,DWD,Name,Label,Lat.,Lon.,Type,Admin
B320,2749,GERSDORF,Gersdorf,54.08,11.75,village,8
P0175,,ROSTOCK-STADT,Rostock,54.08,12.13,city,6
B258,5097,TRIBSEES,Tribsees,54.08,12.78,town,8
K3018,,ZINNOWITZ,Zinnowitz,54.08,13.9,village,8
10130,1200,ELPERSBUETTEL,Elpersbüttel,54.07,9.02,village,8
B334,1803,GROSS LUESEWITZ,Groß Lüsewitz,54.07,12.33,village,8
EW016,,Rakow,Rakow,54.05,11.62,hamlet,10
P0356,,RAKOW,Rakow,54.05,13.03,hamlet,10
N2395,,WOLGAST,Wolgast,54.05,13.78,town,8
A652,,PADENSTEDT,Padenstedt,54.03,9.92,village,8
P0352,,TRAPPENKAMP,Trappenkamp,54.03,10.22,village,8
A653,7427,PADENSTEDT (PONY-PAR,Padenstedt,54.02,9.93,suburb,10
B482,2518,GROSS KIESOW-SCHLAGT,Groß Kiesow,54.02,13.5,village,8
10142,2429,ITZEHOE,Itzehoe (Flughafen),54.0,9.58,village,8
10161,596,BOLTENHAGEN,Boltenhagen,54.0,11.2,village,8
B308,2578,KIRCHDORF/POEL,Kirchdorf (Poel),54.0,11.43,hamlet,9
B335,,KAVELSDORF,Kavelstorf,54.0,12.22,village,9
P0124,,TIMMENDORF/POEL,Timmendorf (Poel),53.98,11.38,hamlet,10
P0357,,RAVENSBERG,Ravensberg,53.98,11.7,hamlet,10
A699,5078,TRAVEMUENDE,Travemünde,53.97,10.88,suburb,10
X482,,GNOIEN,Gnoien,53.97,12.7,town,8
P0349,,MARNE,Marne,53.95,9.02,town,8
P0131,,KAISER-WILH.-KOOG,Kaiser-Wilhelm-Koog,53.93,8.93,village,8
K3854,,BAD SEGEBERG,Bad Segeberg,53.93,10.3,town,8
A791,4602,"SCHWARTAU,BAD -GROSS",Bad Schwartau,53.93,10.7,town,8
N8667,,BAD BRAMSTEDT,Bad Bramstedt,53.92,9.9,town,8
A762,5280,WITTENBORN,Wittenborn,53.92,10.23,village,8
10172,2796,LAAGE,Laage,53.92,12.28,town,9
N2372,,DEMMIN,Demmin,53.92,13.05,town,8
12200,,SWINEMUENDE,Świnoujście,53.92,14.25,city,8
P0027,,BRUNSBUETTEL/SWA,Brunsbüttel,53.9,9.13,town,8
A752,13687,WEDDELBROOK,Weddelbrook,53.9,9.83,village,8
P0501,,LANGEN-TRECHOW,Langen Trechow,53.9,11.93,hamlet,10
N2839,,WISMAR,Wismar,53.88,11.43,town,8
10131,891,CUXHAVEN,Cuxhaven,53.87,8.7,town,8
N8690,,BROKDORF,Brokdorf,53.87,9.33,village,8
N2781,,BUETZOW-WOLKEN,Bützow-Wolken,53.85,12.02,town,9
E082,1451,FREIBURG/ELBE,Freiburg (Elbe),53.83,9.25,town,8
P0350,,REINFELD,Reinfeld (Holstein),53.83,10.48,town,9
B511,1769,GREVESMUEHLEN,Grevesmühlen,53.83,11.17,town,8
B488,167,ANKLAM,Anklam,53.83,13.68,town,8
N7012,,BAD OLDESLOE,Bad Oldesloe,53.82,10.4,town,9
10156,3086,LUEBECK,Lübeck,53.82,10.7,city,6
B531,312,BAUMGARTEN,Baumgarten,53.82,11.88,village,8
B544,1888,PARUM,Parum,53.82,12.12,hamlet,10
K1484,,GLUECKSTADT,Glückstadt,53.8,9.43,town,8
B525,2272,VENTSCHOW,Ventschow,53.78,11.57,village,8
E031,6091,SPIEKEROOG (SWN),Spiekeroog,53.77,7.67,village,8
10136,3639,NORDHOLZ,Nordholz,53.77,8.67,village,9
B556,5009,TETEROW,Teterow,53.77,12.55,town,8
10193,5142,UECKERMUENDE,Ueckermünde,53.75,14.07,town,8
E5344,,BALTRUM,Baltrum,53.73,7.38,village,8
10146,4039,QUICKBORN,Quickborn,53.73,9.88,town,8
10273,305,BASEPOHL,Basepohl,53.73,12.93,hamlet,10
B587,4080,RATHEBUR,Rathebur,53.73,13.78,hamlet,10
10113,3631,NORDERNEY,Norderney,53.72,7.15,town,8
E091,1056,DROCHTERSEN,Drochtersen,53.72,9.38,village,8
E095,6108,RUTHENSTROM,Ruthenstrom,53.72,9.42,special,10
EW024,,Wangerland,Harlesiel,53.7,7.83,village,8
E067,2844,"LANGEN-HOLSSEL, KREI",Holßel,53.7,8.63,village,9
E078,4841,"STEINAU,KR.CUXHAVEN",Steinau,53.7,8.88,village,9
N1040,,HEMMOOR,Hemmoor,53.7,9.15,town,8
N7029,,RATZEBURG,Ratzeburg,53.7,10.77,town,8
P0199,,UETERSEN,Uetersen,53.68,9.65,town,8
A940,5058,SPRENGE,Sprenge,53.68,10.37,village,8
P0488,,BERGSTEDT,Hamburg Bergstedt,53.67,10.12,suburb,10
E025,1030,DORNUM,Dornum,53.65,7.43,village,8
E043,6157,WANGERLAND-HOOKSIEL,Wangerland-Hooksiel,53.65,8.08,village,9
10162,4625,SCHWERIN,Schwerin,53.65,11.38,town,6
B670,5854,FRIEDLAND,Friedland,53.65,13.53,town,8
E087,2822,LAMSTEDT,Lamstedt,53.63,9.1,village,8
N8625,,STADERSAND,Stadersand,53.63,9.53,suburb,10
10147,1975,HAMBURG-FU.,Hamburg Fuhlsbüttel,53.63,10.0,city,4
P0502,,HOHEN PRITZ,Hohen Pritz,53.63,11.9,village,8
N8524,,TRITTAU,Trittau,53.62,10.4,village,8
B742,,LINSTOW,Linstow,53.62,12.38,hamlet,10
E008,7373,BORKUM-FLUGPLATZ,Borkum (Flugplatz),53.6,6.7,airport,10
P0211,,LANGWARDEN,Langwarden,53.6,8.32,village,8
P0201,,SCHENEFELD,Schenefeld,53.6,9.82,town,8
10168,1694,GOLDBERG,Goldberg,53.6,12.1,town,8
10281,5109,TROLLENHAGEN,Trollenhagen,53.6,13.3,village,8
B687,4282,ROTHEMUEHL,Rothemühl,53.6,13.82,village,8
E006,619,BORKUM-SUEDERSTRASSE,Borkum,53.58,6.67,village,8
P0142,,TOSSENS,Tossens,53.58,8.25,suburb,10
K1083,,BORKUM,Borkum Reede,53.57,6.75,suburb,10
A981,1736,GRAMBEK,Grambek,53.57,10.68,village,8
P0489,,HAMBURG INNENSTADT,Hamburg Neustadt,53.55,9.98,city,9
10129,701,BREMERHAVEN,Bremerhaven,53.53,8.58,city,6
P0026,,FINKENWERDER,Hamburg Finkenwerder,53.53,9.83,city,9
P0202,,GLINDE,Glinde,53.53,10.22,town,8
EW034,,EW-Hamburg,Hamburg Billbrook,53.52,10.1,city,9
10139,704,BREMERVOERDE,Bremervörde,53.5,9.17,town,8
C720,1981,HAMBURG-NEUWIEDENTH.,Hamburg Hausbruch,53.48,9.9,city,9
B747,3945,PLAU AM SEE,Plau am See,53.45,12.25,town,8
E158,4920,BEVERSTEDT,Beverstedt,53.43,8.8,town,8
C316,,MARMSTORF,Hamburg Marmstorf,53.43,9.93,city,9
P0120,,HAMBURG-NEUENG.,Hamburg Neuengamme,53.42,10.23,city,9
10203,1219,EMDEN,Emden,53.35,7.2,town,6
B818,4101,REDEFIN,Redefin,53.35,11.2,village,8
B853,6106,RECHLIN,Rechlin,53.33,12.72,village,8
10289,1869,GRUENOW,Grünow,53.32,13.93,village,8
F020,3280,MEYENBURG,Meyenburg,53.3,12.3,town,8
E229,5518,WESTERSTEDE,Westerstede,53.25,7.93,town,8
E234,4078,RASTEDE,Rastede,53.25,8.22,town,8
E277,2689,KOENIGSMOOR,Königsmoor,53.23,9.65,village,8
E298,6093,WENDISCH EVERN,Wendisch Evern,53.22,10.47,village,8
B926,3146,MALK GOEHREN,Malk Göhren,53.22,11.37,village,8
E335,2355,HUDE/OLDENBURG,Hude (Oldenburg),53.12,8.42,town,8
F105,2951,LENZEN/ELBE,Lenzen (Elbe),53.1,11.48,town,8
